cluster_id,k,alpha,beta,gamma,total_greedy_score,final_step_score,selected_verifiers,selected_param_counts_GB
0,5,1.0,0.25,0.25,2.1054129395906487,0.28498001983373245,"GRMLlama32_scores, EurusPRMStage1_max_scores, EurusPRMStage2_max_scores, GRMGemma_scores, QwenPRM_min_scores","3.0, 7.0, 7.0, 2.0, 7.0"
0,5,1.0,0.25,0.5,1.2832602516869398,0.06623001983373245,"GRMGemma_scores, EurusPRMStage1_max_scores, GRMLlama32_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores","2.0, 7.0, 3.0, 7.0, 7.0"
0,5,1.0,0.25,1.0,-0.3417397483130601,-0.37126998016626755,"GRMGemma_scores, GRMLlama32_scores, EurusPRMStage1_max_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores","2.0, 3.0, 7.0, 7.0, 7.0"
0,5,1.0,0.5,0.25,2.0506526061906576,0.2204287854597896,"GRMLlama32_scores, EurusPRMStage1_max_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, GPM_scores","3.0, 7.0, 7.0, 7.0, 8.0"
0,5,1.0,0.5,0.5,1.066245315598692,0.021969953496141448,"GRMGemma_scores, EurusPRMStage1_max_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, GRMLlama32_scores","2.0, 7.0, 7.0, 7.0, 3.0"
0,5,1.0,0.5,1.0,-0.5587546844013083,-0.3919588285014034,"GRMGemma_scores, EurusPRMStage1_max_scores, GRMLlama32_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores","2.0, 7.0, 3.0, 7.0, 7.0"
0,5,1.0,1.0,0.25,2.128116486779365,0.21470773718050795,"GRMLlama32_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, GPM_scores, EurusPRMStage2_max_scores","3.0, 7.0, 7.0, 8.0, 7.0"
0,5,1.0,1.0,0.5,1.045466311182696,-0.02404789398588575,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, GPM_scores","2.0, 7.0, 7.0, 7.0, 8.0"
0,5,1.0,1.0,1.0,-0.892033688817304,-0.5240478939858857,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, GPM_scores","2.0, 7.0, 7.0, 7.0, 8.0"
0,10,1.0,0.25,0.25,3.210191083991128,0.20090147190141938,"GRMLlama32_scores, EurusPRMStage1_max_scores, EurusPRMStage2_max_scores, GRMGemma_scores, QwenPRM_min_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, GPM_scores, EurusPRMStage1_avg_scores, InternLM2Reward7B_scores","3.0, 7.0, 7.0, 2.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0"
0,10,1.0,0.25,0.5,1.2671857025390814,-0.028185568365710845,"GRMGemma_scores, EurusPRMStage1_max_scores, GRMLlama32_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage1_avg_scores, InternLM2Reward7B_scores, EurusPRMStage1_min_scores","2.0, 7.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0"
0,10,1.0,0.25,1.0,-2.5453142974609193,-0.46568556836571084,"GRMGemma_scores, GRMLlama32_scores, EurusPRMStage1_max_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, EurusPRMStage2_avg_scores, QwenPRM_max_scores, EurusPRMStage1_avg_scores, InternLM2Reward7B_scores, EurusPRMStage1_min_scores","2.0, 3.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0"
0,10,1.0,0.5,0.25,2.497356421447545,0.022795148148748667,"GRMLlama32_scores, EurusPRMStage1_max_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, GPM_scores, QwenPRM_max_scores, EurusPRMStage2_avg_scores, GRMGemma_scores, EurusPRMStage1_min_scores, EurusPRMStage1_avg_scores","3.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0, 2.0, 7.0, 7.0"
0,10,1.0,0.5,0.5,0.5188915667037102,-0.19595485185125133,"GRMGemma_scores, EurusPRMStage1_max_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, GRMLlama32_scores, GPM_scores, QwenPRM_max_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_avg_scores","2.0, 7.0, 7.0, 7.0, 3.0, 8.0, 7.0, 7.0, 7.0, 7.0"
0,10,1.0,0.5,1.0,-3.35610843329629,-0.6334548518512513,"GRMGemma_scores, EurusPRMStage1_max_scores, GRMLlama32_scores, EurusPRMStage2_max_scores, QwenPRM_min_scores, QwenPRM_max_scores, GPM_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, EurusPRMStage1_avg_scores","2.0, 7.0, 3.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0"
0,10,1.0,1.0,0.25,1.102939633895076,-0.35718748148028034,"GRMLlama32_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, GPM_scores, EurusPRMStage2_max_scores, QwenPRM_max_scores, EurusPRMStage1_min_scores, EurusPRMStage2_avg_scores, QwenPRM_avg_scores, EurusPRMStage1_avg_scores","3.0, 7.0, 7.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0"
0,10,1.0,1.0,0.5,-0.9377665531066636,-0.5304352442708694,"GRMGemma_scores, EurusPRMStage1_max_scores, QwenPRM_min_scores, EurusPRMStage2_max_scores, GPM_scores, QwenPRM_max_scores, EurusPRMStage1_min_scores, GRMLlama32_scores, EurusPRMStage2_avg_scores, QwenPRM_avg_scores","2.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0, 3.0, 7.0, 7.0"
